index,img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
0,Ballerina,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_ballerina_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_ballerina_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\ballerina_img3.png,BALLERINE,BALLERINE,BALLERINE,practice
0,Castle,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_castle_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_castle_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\castle_img3.png,BALLE,BALLE,CHÂTEAU,practice
0,Astronaut,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_astronaut_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_astronaut_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\astronaut_img3.png,POT,POT,ASTRONAUTE,practice
0,Guitar,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_guitar_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_guitar_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\guitar_img3.png,ÉTOILE,ÉTOILE,GUITARE,practice
0,Church,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_church_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_church_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\church_img3.png,ÉGLISE,ÉGLISE,ÉGLISE,practice
0,Saw,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_saw_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_saw_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\saw_img3.png,DRAPEAU,DRAPEAU,SCIE,practice
0,Milk Carton,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_milk carton_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_milk carton_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\milk carton_img3.png,CARTON DE LAIT,CARTON DE LAIT,CARTON DE LAIT,practice
0,Clown,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_clown_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_clown_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\clown_img3.png,CLOWN,CLOWN,CLOWN,practice
1,Corn,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_corn_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_corn_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\corn_img3.png,MAÏS,MAÏS,MAÏS,main
2,Canoe,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_canoe_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_canoe_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\canoe_img3.png,OREILLER,OREILLER,CANOT,main
3,Fishbowl,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_fishbowl_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_fishbowl_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\fishbowl_img3.png,AQUARIUM,AQUARIUM,AQUARIUM,main
4,Scissors,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_scissors_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_scissors_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\scissors_img3.png,CAFÉ,CAFÉ,CISEAUX,main
5,Dress,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_dress_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_dress_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\dress_img3.png,SAPIN DE NOËL,SAPIN DE NOËL,ROBE,main
