img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3
Acorn,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_Acorn_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_Acorn_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\Acorn_img3.png,Nuage,Nuage,Gland
Airplane,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_airplane_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_airplane_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\airplane_img3.png,Avion,Avion,Avion
Alligator,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_alligator_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_alligator_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\alligator_img3.png,Alligator,Alligator,Alligator
Anchor,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_anchor_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_anchor_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\anchor_img3.png,Ancre,Ancre,Ancre
Angel,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_angel_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_angel_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\angel_img3.png,Lait,Lait,Ange
Apple,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_apple_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_apple_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\apple_img3.png,Tête,Tête,Pomme
Backpack,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_backpack_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_backpack_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\backpack_img3.png,Sac à dos,Sac à dos,Sac à dos
Bath Tub,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_bath tub_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_bath tub_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\bath tub_img3.png,Lampe,Lampe,Bain
Beaver,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_beaver_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_beaver_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\beaver_img3.png,Chien,Chien,Castor
Bed,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_bed_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_bed_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\bed_img3.png,Lit,Lit,Lit
