11.4319 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000173B6761EB8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000173B67AC860>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4324 	EXP 	window1: recordFrameIntervals = False
11.5957 	EXP 	window1: recordFrameIntervals = True
11.7794 	EXP 	window1: recordFrameIntervals = False
12.7220 	EXP 	Created instructionText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructionText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
12.7539 	EXP 	Created goodbyeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='goodbyeText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Thank you for participate, press space to quit', units='height', win=Window(...), wrapWidth=1)
12.8190 	EXP 	Created unnamed Rect = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='DarkGrey', lineColorSpace='named', lineRGB=array([169., 169., 169.]), lineWidth=1.5, name='unnamed Rect', opacity=1.0, ori=array(0.), pos=array([ 0.  , -0.35]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
12.8193 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, color='LightGray', depth=0, flip=False, font='HelveticaBold', granularity=0, labelHeight=0.05, labelWrapWidth=None, labels=('NO', 'YES'), name='slider', pos=(0, -0.35), readOnly=False, self=UNKNOWN, size=(1.0, 0.05), style=method-wrapper(...), ticks=array([0, 1]), units='height', win=Window(...))
12.8330 	EXP 	Created text1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text1', opacity=1.0, ori=0, pos=array([ 0.  , -0.25]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
12.8379 	EXP 	Created text2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text2', opacity=1.0, ori=0, pos=array([ 0.  , -0.25]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
12.8423 	EXP 	Created text3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text3', opacity=1.0, ori=0, pos=array([ 0.  , -0.25]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
12.8479 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image1', opacity=0.0, ori=0.0, pos=array([0. , 0.1]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
12.8500 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image2', opacity=0.0, ori=0.0, pos=array([0. , 0.1]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
12.8521 	EXP 	Created image3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image3', opacity=0.0, ori=0.0, pos=array([0. , 0.1]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
12.8900 	EXP 	slider: autoLog = True
12.8900 	EXP 	slider: markerPos = None
12.8900 	EXP 	slider: rating = None
12.8900 	EXP 	slider: markerPos = None
12.8900 	EXP 	slider: contrast = 1.0
12.8900 	EXP 	slider: autoLog = True
12.8900 	EXP 	slider: style = ('triangleMarker',)
12.8900 	EXP 	instructionText: autoDraw = True
13.6685 	DATA 	Keypress: space
13.7615 	EXP 	instructionText: autoDraw = False
16.9542 	EXP 	Imported C:/Users/que_d/Documents/McGill/LepageLab/psychopyExperiment_github/experiment_images.csv as conditions, 4 conditions, 7 params
16.9547 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
16.9559 	EXP 	New trial (rep=0, index=0): OrderedDict([('image_name', 'bat'), ('img_1', 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\YN_Bat_img1.png'), ('img_2', 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\YN_Bat_img2.png'), ('img_3', 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\Bat_img3.png'), ('txt_1', 'umbrella'), ('txt_2', 'umbrella'), ('txt_3', 'umbrella')])
17.0844 	EXP 	slider: markerPos = None
17.0844 	EXP 	slider: markerPos = None
17.0844 	EXP 	slider: rating = None
17.0844 	EXP 	text1: text = 'umbrella'
17.0844 	EXP 	text2: text = 'umbrella'
17.0844 	EXP 	text3: text = 'umbrella'
17.0844 	EXP 	image1: image = 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\YN_Bat_img1.png'
17.0844 	EXP 	image2: image = 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\YN_Bat_img2.png'
17.0844 	EXP 	image3: image = 'C:\\\\Users\\\\que_d\\\\Documents\\\\McGill\\\\LepageLab\\\\psychopyExperiment_github\\\\experimentPics\\\\Bat_img3.png'
17.0844 	EXP 	slider: markerPos = 0.5
17.0844 	EXP 	slider: rating = 0.5
17.0844 	EXP 	slider: autoDraw = True
17.0844 	EXP 	text1: autoDraw = True
17.0844 	EXP 	image1: autoDraw = True
18.6478 	DATA 	Keypress: left
18.6771 	EXP 	slider: markerPos = 0.49
18.6771 	EXP 	slider: rating = 0.49
18.6938 	EXP 	slider: markerPos = 0.48
18.6938 	EXP 	slider: rating = 0.48
18.7104 	EXP 	slider: markerPos = 0.47
18.7104 	EXP 	slider: rating = 0.47
18.7272 	EXP 	slider: markerPos = 0.45999999999999996
18.7272 	EXP 	slider: rating = 0.45999999999999996
18.7438 	EXP 	slider: markerPos = 0.44999999999999996
18.7438 	EXP 	slider: rating = 0.44999999999999996
18.7604 	EXP 	slider: markerPos = 0.43999999999999995
18.7604 	EXP 	slider: rating = 0.43999999999999995
18.7771 	EXP 	slider: markerPos = 0.42999999999999994
18.7771 	EXP 	slider: rating = 0.42999999999999994
18.7938 	EXP 	slider: markerPos = 0.41999999999999993
18.7938 	EXP 	slider: rating = 0.41999999999999993
18.8104 	EXP 	slider: markerPos = 0.4099999999999999
18.8104 	EXP 	slider: rating = 0.4099999999999999
18.8270 	EXP 	slider: markerPos = 0.3999999999999999
18.8270 	EXP 	slider: rating = 0.3999999999999999
18.8437 	EXP 	slider: markerPos = 0.3899999999999999
18.8437 	EXP 	slider: rating = 0.3899999999999999
18.8605 	EXP 	slider: markerPos = 0.3799999999999999
18.8605 	EXP 	slider: rating = 0.3799999999999999
18.8771 	EXP 	slider: markerPos = 0.3699999999999999
18.8771 	EXP 	slider: rating = 0.3699999999999999
18.8937 	EXP 	slider: markerPos = 0.3599999999999999
18.8937 	EXP 	slider: rating = 0.3599999999999999
18.9103 	EXP 	slider: markerPos = 0.34999999999999987
18.9103 	EXP 	slider: rating = 0.34999999999999987
18.9271 	EXP 	slider: markerPos = 0.33999999999999986
18.9271 	EXP 	slider: rating = 0.33999999999999986
18.9437 	EXP 	slider: markerPos = 0.32999999999999985
18.9437 	EXP 	slider: rating = 0.32999999999999985
18.9604 	EXP 	slider: markerPos = 0.31999999999999984
18.9604 	EXP 	slider: rating = 0.31999999999999984
18.9769 	EXP 	slider: markerPos = 0.30999999999999983
18.9769 	EXP 	slider: rating = 0.30999999999999983
18.9936 	EXP 	slider: markerPos = 0.2999999999999998
18.9936 	EXP 	slider: rating = 0.2999999999999998
19.0102 	EXP 	slider: markerPos = 0.2899999999999998
19.0102 	EXP 	slider: rating = 0.2899999999999998
19.0271 	EXP 	slider: markerPos = 0.2799999999999998
19.0271 	EXP 	slider: rating = 0.2799999999999998
19.0437 	EXP 	slider: markerPos = 0.2699999999999998
19.0437 	EXP 	slider: rating = 0.2699999999999998
19.0604 	EXP 	slider: markerPos = 0.2599999999999998
19.0604 	EXP 	slider: rating = 0.2599999999999998
19.0769 	EXP 	slider: markerPos = 0.24999999999999978
19.0769 	EXP 	slider: rating = 0.24999999999999978
19.0829 	DATA 	Keypress: right
19.0936 	EXP 	slider: markerPos = 0.23999999999999977
19.0936 	EXP 	slider: rating = 0.23999999999999977
19.1103 	EXP 	slider: markerPos = 0.22999999999999976
19.1103 	EXP 	slider: rating = 0.22999999999999976
19.1103 	EXP 	slider: markerPos = 0.23999999999999977
19.1103 	EXP 	slider: rating = 0.23999999999999977
19.1271 	EXP 	slider: markerPos = 0.22999999999999976
19.1271 	EXP 	slider: rating = 0.22999999999999976
19.1271 	EXP 	slider: markerPos = 0.23999999999999977
19.1271 	EXP 	slider: rating = 0.23999999999999977
